city,cadastral_ref,full_address,municipality,province,postal_code,use,property_class,surface_m2,total_built_surface_m2,year_built,num_floors_above_ground,floor,door,latitude,longitude,cadastral_value,coeff_participation,use_types,market_data_level,avg_rent_apt_m2_month,avg_rent_house_m2_month,estimated_monthly_rent,estimated_market_value,estimated_price_m2,ine_province_code,ine_municipality_code,street_type,street_name,street_number
MALAGA,3550215UF7635S0001GO,CL ALCAZABILLA 3 29015 MALAGA (MÁLAGA),MALAGA,MÁLAGA,29015,Religioso,UR,1377,1377,2000,5,,,36.7207614,-4.4174851,,"100,000000",RELIGIOSO,municipality,9.55,6.6,13150,3156000,2292,29,67,CL,ALCAZABILLA,3
,6334606XM7163C0001TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZARAGOZA,6437106XM7163E0001GJ,CL COSO 5 50003 ZARAGOZA (ZARAGOZA),ZARAGOZA,ZARAGOZA,50003,Residencial,UR,7605,7605,1936,8,,,41.6539349,-0.8841612,,"100,000000","ALMACEN, VIVIENDA, COMERCIO",municipality,7.72,5.48,58711,14090640,1853,50,297,CL,COSO,5
,6227327UM5162E0001QY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANADA,6945105VG4164F0002GU,CL REYES CATOLICOS 3 18001 GRANADA (GRANADA),GRANADA,GRANADA,18001,Residencial,UR,375,375,2008,5,,,37.2265391,-3.6818626,,"100,000000","VIVIENDA, OFICINA, COMERCIO",municipality,6.85,5.88,2569,616560,1644,18,87,CL,REYES CATOLICOS,3
SALAMANCA,5374106TL7357C0001BY,CL MAYOR 4 Suelo 37008 SALAMANCA (SALAMANCA),SALAMANCA,SALAMANCA,37008,"Obras de urbanización y jardineria, suelos sin edificar",UR,0,,,,UE,LO,40.955505,-5.6707004,,"100,000000",,municipality,6.38,5.59,,,,37,274,CL,MAYOR,4
MURCIA,4460601XH6046S0028OO,CL TRAPERIA 10 Es:1 Pl:01 Pt:A TODOS 30001 MURCIA (MURCIA) (MURCIA),MURCIA,MURCIA,30001,Residencial,UR,880,880,1920,7,01,A,37.9856812,-1.1291944,,"100,000000","VIVIENDA, ALMACEN, HOTELERO, COMERCIO",municipality,6.52,4.46,5738,1377120,1565,30,30,CL,TRAPERIA,10
,3547311UG4934N0002UW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
